placeNumber,placesCount,category,path
1,18,places,"[{""lat"": 48.83575977980719, ""lng"": 9.763329800116484}, {""lat"": 48.8373670028252, ""lng"": 9.763395194141582}]"
17,10,places,"[{""lat"": 48.83633097514284, ""lng"": 9.763506424511618}, {""lat"": 48.837156055803014, ""lng"": 9.763597303632862}]"
26,7,places,"[{""lat"": 48.836539221564585, ""lng"": 9.763718603912853}, {""lat"": 48.837062440499906, ""lng"": 9.763793679924333}]"
33,2,places,"[{""lat"": 48.83715799798317, ""lng"": 9.763844313668455}, {""lat"": 48.83725602968279, ""lng"": 9.763948928670361}]"
35,8,places,"[{""lat"": 48.83661293301137, ""lng"": 9.763862864599455}, {""lat"": 48.83719817579144, ""lng"": 9.764027775468218}]"
43,7,places,"[{""lat"": 48.83650495368246, ""lng"": 9.764006995755722}, {""lat"": 48.837099327277585, ""lng"": 9.764124142956964}]"
50,3,places,"[{""lat"": 48.83662401888115, ""lng"": 9.76416343005434}, {""lat"": 48.836870631921, ""lng"": 9.764220931828527}]"
52,4,places,"[{""lat"": 48.835620446732456, ""lng"": 9.76350271323776}, {""lat"": 48.83594508147658, ""lng"": 9.763574468528457}]"
56,5,places,"[{""lat"": 48.83558995854129, ""lng"": 9.763796659884786}, {""lat"": 48.836092986240914, ""lng"": 9.763869306728248}]"
61,1,places,"[{""lat"": 48.83617907642538, ""lng"": 9.763747294938572}, {""lat"": 48.83617907642538, ""lng"": 9.763747294938572}]"
62,3,places,"[{""lat"": 48.835754238521616, ""lng"": 9.76396339024913}, {""lat"": 48.835997439541615, ""lng"": 9.764025779538816}]"
66,3,places,"[{""lat"": 48.83602927244979, ""lng"": 9.764188067168485}, {""lat"": 48.836233158800944, ""lng"": 9.764272979454592}]"
69,2,places,"[{""lat"": 48.83567000006237, ""lng"": 9.764180332312964}, {""lat"": 48.83567445026981, ""lng"": 9.764337888210795}]"
8801,1,places,"[{""lat"": 48.83635976830587, ""lng"": 9.764333386670462}, {""lat"": 48.83635976830587, ""lng"": 9.764333386670462}]"
72,4,places,"[{""lat"": 48.83595075634674, ""lng"": 9.76429645585823}, {""lat"": 48.836227941473815, ""lng"": 9.764410298332301}]"
7501,1,places,"[{""lat"": 48.836315232020254, ""lng"": 9.764486022962728}, {""lat"": 48.836315232020254, ""lng"": 9.764486022962728}]"
7502,1,places,"[{""lat"": 48.83642155709868, ""lng"": 9.764661630195354}, {""lat"": 48.83642155709868, ""lng"": 9.764661630195354}]"
76,7,places,"[{""lat"": 48.83579648910798, ""lng"": 9.764333734514906}, {""lat"": 48.83629219884369, ""lng"": 9.76460345990195}]"
83,7,places,"[{""lat"": 48.838025890354764, ""lng"": 9.76456286434779}, {""lat"": 48.83841502919975, ""lng"": 9.76526876253226}]"
